页面编号,页面名称,路由,页面文件,前置任务,接口,测试,负责人,状态
UI-001,调度总览,/dispatch/overview,src/pages/dispatch/OverviewPage.tsx,"P0,P1","API-001,API-013,API-025","src/pages/__tests__/OverviewPage.render.test.tsx,src/pages/__tests__/OverviewPage.permission.test.tsx,src/pages/__tests__/OverviewPage.action.test.tsx,e2e/ui-001-dispatch-overview.spec.ts",,未开始
UI-002,计划接收台账,/dispatch/plans,src/pages/dispatch/PlanLedgerPage.tsx,"P0,P1","API-002,API-003,API-004,API-025","src/pages/__tests__/PlanLedgerPage.render.test.tsx,src/pages/__tests__/PlanLedgerPage.permission.test.tsx,src/pages/__tests__/PlanLedgerPage.action.test.tsx,e2e/ui-002-dispatch-plans.spec.ts",,未开始
UI-003,接车计划推荐,/dispatch/plans/:planId/recommendation,src/pages/dispatch/ReceptionRecommendationPage.tsx,"P1,PAGE-UI002","API-005,API-006","src/pages/__tests__/ReceptionRecommendationPage.render.test.tsx,src/pages/__tests__/ReceptionRecommendationPage.permission.test.tsx,src/pages/__tests__/ReceptionRecommendationPage.action.test.tsx,e2e/ui-003-dispatch-plans-:planId-recommendation.spec.ts",,未开始
UI-004,任务拆解,/dispatch/plans/:planId/tasks,src/pages/dispatch/TaskDecompositionPage.tsx,"P1,PAGE-UI003",API-007,"src/pages/__tests__/TaskDecompositionPage.render.test.tsx,src/pages/__tests__/TaskDecompositionPage.permission.test.tsx,src/pages/__tests__/TaskDecompositionPage.action.test.tsx,e2e/ui-004-dispatch-plans-:planId-tasks.spec.ts",,未开始
UI-005,派工看板,/dispatch/work-orders,src/pages/dispatch/DispatchBoardPage.tsx,"P1,PAGE-UI004","API-008,API-009","src/pages/__tests__/DispatchBoardPage.render.test.tsx,src/pages/__tests__/DispatchBoardPage.permission.test.tsx,src/pages/__tests__/DispatchBoardPage.action.test.tsx,e2e/ui-005-dispatch-work-orders.spec.ts",,未开始
UI-006,公路预约与叫号,/yard/appointments,src/pages/yard/RoadAppointmentPage.tsx,P1,"API-010,API-011","src/pages/__tests__/RoadAppointmentPage.render.test.tsx,src/pages/__tests__/RoadAppointmentPage.permission.test.tsx,src/pages/__tests__/RoadAppointmentPage.action.test.tsx,e2e/ui-006-yard-appointments.spec.ts",,未开始
UI-007,全流程监控,/monitor/operations,src/pages/monitor/OperationMonitorPage.tsx,"P1,PAGE-UI005","API-012,API-013","src/pages/__tests__/OperationMonitorPage.render.test.tsx,src/pages/__tests__/OperationMonitorPage.permission.test.tsx,src/pages/__tests__/OperationMonitorPage.action.test.tsx,e2e/ui-007-monitor-operations.spec.ts",,未开始
UI-008,异常处置,/monitor/exceptions,src/pages/monitor/ExceptionHandlingPage.tsx,"P1,PAGE-UI007","API-014,API-015","src/pages/__tests__/ExceptionHandlingPage.render.test.tsx,src/pages/__tests__/ExceptionHandlingPage.permission.test.tsx,src/pages/__tests__/ExceptionHandlingPage.action.test.tsx,e2e/ui-008-monitor-exceptions.spec.ts",,未开始
UI-009,安全联锁,/safety/interlocks,src/pages/safety/SafetyInterlockPage.tsx,"P1,PAGE-UI005","API-016,API-017","src/pages/__tests__/SafetyInterlockPage.render.test.tsx,src/pages/__tests__/SafetyInterlockPage.permission.test.tsx,src/pages/__tests__/SafetyInterlockPage.action.test.tsx,e2e/ui-009-safety-interlocks.spec.ts",,未开始
UI-010,离线同步,/operations/offline-sync,src/pages/operations/OfflineSyncPage.tsx,"P1,PAGE-UI005","API-018,API-019","src/pages/__tests__/OfflineSyncPage.render.test.tsx,src/pages/__tests__/OfflineSyncPage.permission.test.tsx,src/pages/__tests__/OfflineSyncPage.action.test.tsx,e2e/ui-010-operations-offline-sync.spec.ts",,未开始
UI-011,统计报表,/reports/operations,src/pages/reports/OperationReportPage.tsx,"P1,PAGE-UI007","API-020,API-021","src/pages/__tests__/OperationReportPage.render.test.tsx,src/pages/__tests__/OperationReportPage.permission.test.tsx,src/pages/__tests__/OperationReportPage.action.test.tsx,e2e/ui-011-reports-operations.spec.ts",,未开始
UI-012,系统配置,/settings/system,src/pages/settings/SystemSettingsPage.tsx,P1,"API-022,API-023","src/pages/__tests__/SystemSettingsPage.render.test.tsx,src/pages/__tests__/SystemSettingsPage.permission.test.tsx,src/pages/__tests__/SystemSettingsPage.action.test.tsx,e2e/ui-012-settings-system.spec.ts",,未开始
UI-013,审计日志,/governance/audit,src/pages/governance/AuditLogPage.tsx,P1,API-024,"src/pages/__tests__/AuditLogPage.render.test.tsx,src/pages/__tests__/AuditLogPage.permission.test.tsx,src/pages/__tests__/AuditLogPage.action.test.tsx,e2e/ui-013-governance-audit.spec.ts",,未开始
