需求编号,需求,页面,接口,实现文件,测试,验收场景,完成证据
FR-001-01,外部计划同步,UI-002,API-002/API-003/API-004/API-025,src/pages/dispatch/PlanLedgerPage.tsx,e2e/ui-002-dispatch-plans.spec.ts,AT-TOS-001,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-001-02,货票/运单接入,UI-002,API-002/API-003/API-004/API-025,src/pages/dispatch/PlanLedgerPage.tsx,e2e/ui-002-dispatch-plans.spec.ts,AT-TOS-002,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-001-03,计划校验与降级,UI-002,API-002/API-003/API-004/API-025,src/pages/dispatch/PlanLedgerPage.tsx,e2e/ui-002-dispatch-plans.spec.ts,AT-TOS-002/003,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-001-04,股道占用维护,UI-002/003,API-002/API-003/API-004/API-025,src/pages/dispatch/PlanLedgerPage.tsx,e2e/ui-002-dispatch-plans.spec.ts,AT-TOS-003,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-001-05,接车计划推荐,UI-003,API-005/API-006,src/pages/dispatch/ReceptionRecommendationPage.tsx,e2e/ui-003-dispatch-plans-:planId-recommendation.spec.ts,AC-UI003,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-001-06,计划变更留痕,UI-002/013,API-002/API-003/API-004/API-025,src/pages/dispatch/PlanLedgerPage.tsx,e2e/ui-002-dispatch-plans.spec.ts,AT-TOS-012,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-01,货类识别结果接收,UI-004,API-007,src/pages/dispatch/TaskDecompositionPage.tsx,e2e/ui-004-dispatch-plans-:planId-tasks.spec.ts,AC-UI004,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-02,作业路由判定,UI-004,API-007,src/pages/dispatch/TaskDecompositionPage.tsx,e2e/ui-004-dispatch-plans-:planId-tasks.spec.ts,AC-UI004,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-03,任务自动拆解,UI-004,API-007,src/pages/dispatch/TaskDecompositionPage.tsx,e2e/ui-004-dispatch-plans-:planId-tasks.spec.ts,AT-TOS-004,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-04,装备与人员状态匹配,UI-005,API-008/API-009,src/pages/dispatch/DispatchBoardPage.tsx,e2e/ui-005-dispatch-work-orders.spec.ts,AT-TOS-005,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-05,工单下发,UI-005,API-008/API-009,src/pages/dispatch/DispatchBoardPage.tsx,e2e/ui-005-dispatch-work-orders.spec.ts,AT-TOS-005,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-06,工单接收确认,UI-005,API-008/API-009,src/pages/dispatch/DispatchBoardPage.tsx,e2e/ui-005-dispatch-work-orders.spec.ts,AT-TOS-005,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-002-07,人工改派,UI-005/013,API-008/API-009,src/pages/dispatch/DispatchBoardPage.tsx,e2e/ui-005-dispatch-work-orders.spec.ts,AC-UI005,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-003-01,预约信息提报,UI-006,API-010/API-011,src/pages/yard/RoadAppointmentPage.tsx,e2e/ui-006-yard-appointments.spec.ts,AT-TOS-006,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-003-02,车辆资质审核,UI-006,API-010/API-011,src/pages/yard/RoadAppointmentPage.tsx,e2e/ui-006-yard-appointments.spec.ts,AT-TOS-006,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-003-03,叫号排队,UI-006,API-010/API-011,src/pages/yard/RoadAppointmentPage.tsx,e2e/ui-006-yard-appointments.spec.ts,AT-TOS-006,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-003-04,入场引导,UI-006,API-010/API-011,src/pages/yard/RoadAppointmentPage.tsx,e2e/ui-006-yard-appointments.spec.ts,AT-TOS-006,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-003-05,场内路径引导,UI-006,API-010/API-011,src/pages/yard/RoadAppointmentPage.tsx,e2e/ui-006-yard-appointments.spec.ts,AC-UI006,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-003-06,离场状态回写,UI-006,API-010/API-011,src/pages/yard/RoadAppointmentPage.tsx,e2e/ui-006-yard-appointments.spec.ts,AT-TOS-006,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-004-01,人机货车态势监控,UI-001/007,API-001/API-013/API-025,src/pages/dispatch/OverviewPage.tsx,e2e/ui-001-dispatch-overview.spec.ts,AC-UI007,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-004-02,节点交账,UI-007,API-012/API-013,src/pages/monitor/OperationMonitorPage.tsx,e2e/ui-007-monitor-operations.spec.ts,AC-UI007,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-004-03,超时/卡顿识别,UI-007/008,API-012/API-013,src/pages/monitor/OperationMonitorPage.tsx,e2e/ui-007-monitor-operations.spec.ts,AT-TOS-007,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-004-04,异常告警,UI-008,API-014/API-015,src/pages/monitor/ExceptionHandlingPage.tsx,e2e/ui-008-monitor-exceptions.spec.ts,AT-TOS-007,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-004-05,人工处置,UI-008,API-014/API-015,src/pages/monitor/ExceptionHandlingPage.tsx,e2e/ui-008-monitor-exceptions.spec.ts,AT-TOS-007,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-004-06,闭环关闭,UI-008/013,API-014/API-015,src/pages/monitor/ExceptionHandlingPage.tsx,e2e/ui-008-monitor-exceptions.spec.ts,AT-TOS-007,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-005-01,作业台账归档,UI-011,API-020/API-021,src/pages/reports/OperationReportPage.tsx,e2e/ui-011-reports-operations.spec.ts,AT-TOS-010,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-005-02,班报生成,UI-011,API-020/API-021,src/pages/reports/OperationReportPage.tsx,e2e/ui-011-reports-operations.spec.ts,AT-TOS-010,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-005-03,日报生成,UI-011,API-020/API-021,src/pages/reports/OperationReportPage.tsx,e2e/ui-011-reports-operations.spec.ts,AT-TOS-010,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-005-04,月报生成,UI-011,API-020/API-021,src/pages/reports/OperationReportPage.tsx,e2e/ui-011-reports-operations.spec.ts,AT-TOS-010,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-005-05,效率分析,UI-011,API-020/API-021,src/pages/reports/OperationReportPage.tsx,e2e/ui-011-reports-operations.spec.ts,AT-TOS-010,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-005-06,能耗/环保归档,UI-011,API-020/API-021,src/pages/reports/OperationReportPage.tsx,e2e/ui-011-reports-operations.spec.ts,AC-UI011,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-01,定位数据接入,UI-007/009,API-012/API-013,src/pages/monitor/OperationMonitorPage.tsx,e2e/ui-007-monitor-operations.spec.ts,AT-TOS-008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-02,测距/重量/倾角接入,UI-009,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AT-TOS-008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-03,AI视觉隐患接入,UI-009,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AT-TOS-008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-04,联锁规则判定,UI-009,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AT-TOS-008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-05,控制动作下发,UI-009,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AT-TOS-008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-06,联锁日志,UI-009/013,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AT-TOS-008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-006-07,复位恢复记录,UI-009,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AT-TOS-013/014,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-01,PDA离线工单缓存,UI-010,API-018/API-019,src/pages/operations/OfflineSyncPage.tsx,e2e/ui-010-operations-offline-sync.spec.ts,AT-TOS-009,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-02,离线节点交账暂存,UI-010,API-018/API-019,src/pages/operations/OfflineSyncPage.tsx,e2e/ui-010-operations-offline-sync.spec.ts,AT-TOS-009,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-03,网络恢复后补传,UI-010,API-018/API-019,src/pages/operations/OfflineSyncPage.tsx,e2e/ui-010-operations-offline-sync.spec.ts,AT-TOS-009,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-04,冲突识别与人工确认,UI-010,API-018/API-019,src/pages/operations/OfflineSyncPage.tsx,e2e/ui-010-operations-offline-sync.spec.ts,AT-TOS-009,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-05,弱网提示与限制,UI-010,API-018/API-019,src/pages/operations/OfflineSyncPage.tsx,e2e/ui-010-operations-offline-sync.spec.ts,AC-UI010,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-06,AGV/智能设备断联降级,UI-007/009,API-012/API-013,src/pages/monitor/OperationMonitorPage.tsx,e2e/ui-007-monitor-operations.spec.ts,AT-TOS-005/008,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
FR-007-07,UWB质量与基站漂移,UI-009/010,API-016/API-017,src/pages/safety/SafetyInterlockPage.tsx,e2e/ui-009-safety-interlocks.spec.ts,AC-UI009,通过截图、测试记录、Mock请求日志和UI-013审计日志证明。
